Date,HomeTeam,AwayTeam,FTR,VCH,B365H,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,H2HM1,H2HM2,H2HM3,H2HM4,H2HM5,final1,final2
2010-08-14,Aston Villa,West Ham,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-11.0,-1,-1,-1,-1,-1,1.0,0.0
2010-08-14,Blackburn,Everton,0,3.1,2.88,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,-1,-1,-1,-1,-1,1.0,0.0
2010-08-14,Bolton,Fulham,1,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,-1,-1,-1,-1,-1,0.0,1.0
2010-08-14,Chelsea,West Brom,0,1.17,1.17,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-17.0,-1,-1,-1,-1,-1,1.0,0.0
2010-08-14,Sunderland,Birmingham,1,2.2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,-1,-1,-1,-1,-1,0.0,1.0
2010-08-14,Tottenham,Man City,1,2.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1.0,-1,-1,-1,-1,-1,0.0,1.0
2010-08-14,Wigan,Blackpool,1,1.83,1.83,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-2.0,-1,-1,-1,-1,-1,0.0,1.0
2010-08-14,Wolves,Stoke,0,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,-1,-1,-1,-1,-1,1.0,0.0
2010-08-15,Liverpool,Arsenal,1,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,-1,-1,-1,-1,-1,0.0,1.0
2010-08-16,Man United,Newcastle,0,1.22,1.25,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-16.0,-1,-1,-1,-1,-1,1.0,0.0
2010-08-21,Arsenal,Blackpool,0,1.18,1.17,0.0098039215686274,0.0380952380952381,0.0099009900990099,0.0,0.5,1.5,0,2,2,2,3,2,2,2,0,0,0,0,0,0,0,0,0.0,2.0,-1.0,-1.0,-15.0,-1,-1,-1,-1,-1,1.0,0.0
2010-08-21,Birmingham,Blackburn,0,2.3,2.2,0.0196078431372549,0.0095238095238095,0.0198019801980198,0.0,0.5,1.5,0,2,2,2,3,2,2,2,0,0,0,0,0,0,0,0,0.0,0.5,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,1.0,0.0
2010-08-21,Everton,Wolves,1,1.53,1.5,0.0,0.019047619047619,0.0099009900990099,0.0103092783505154,0.0,1.5,1,2,2,2,3,2,2,2,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5,-7.0,-1,-1,-1,-1,-1,0.0,1.0
2010-08-21,Stoke,Tottenham,1,3.4,3.4,0.0098039215686274,0.0,0.0198019801980198,0.0,0.0,0.5,1,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,-0.5,0.0,-0.5,-0.5,7.0,-1,-1,-1,-1,-1,0.0,1.0
2010-08-21,West Brom,Sunderland,0,2.4,2.5,0.0,0.019047619047619,0.0594059405940594,0.0206185567010309,0.0,0.5,1,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,-3.0,0.0,-0.5,-0.5,5.0,-1,-1,-1,-1,-1,1.0,0.0
2010-08-21,West Ham,Bolton,1,2.3,2.25,0.0,0.0,0.0297029702970297,0.0,0.0,0.5,1,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,-1.5,0.0,-0.5,-0.5,3.0,-1,-1,-1,-1,-1,0.0,1.0
2010-08-21,Wigan,Chelsea,1,15.0,15.0,0.0,0.0571428571428571,0.0396039603960396,0.0,0.0,1.5,1,2,2,2,3,2,2,2,0,0,0,0,0,0,0,0,-2.0,3.0,-1.5,-1.5,15.0,-1,-1,-1,-1,-1,0.0,1.0
2010-08-22,Fulham,Man United,1,6.0,6.0,0.0,0.0285714285714285,0.0,0.0,0.5,1.5,0,2,2,2,3,2,2,2,0,0,0,0,0,0,0,0,0.0,1.5,-1.0,-1.0,10.0,-1,-1,-1,-1,-1,0.0,1.0
